               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043802,            0.037621,           0.0040845,             0.88687,             0.79173,             0.77788,             0.53843,            0.036129,            0.013615,           0.0045766,             0.00769,             0.00769,             0.00769
                  37,            0.045676,            0.038282,           0.0046354,             0.88237,             0.80211,              0.7761,             0.54326,            0.035177,            0.013654,           0.0045261,            0.007624,            0.007624,            0.007624
                  38,            0.041827,            0.032364,           0.0044723,             0.87833,             0.79544,              0.7825,             0.53336,            0.034822,            0.012109,           0.0045242,            0.007558,            0.007558,            0.007558
                  39,            0.040847,             0.03196,           0.0045461,             0.89057,             0.80071,             0.79632,              0.5844,            0.034768,            0.012112,           0.0045167,            0.007492,            0.007492,            0.007492
                  40,            0.043236,            0.037147,           0.0050635,             0.89963,             0.80874,             0.79777,             0.59511,            0.031928,            0.012795,            0.004479,            0.007426,            0.007426,            0.007426
                  41,            0.043031,            0.032905,           0.0041314,             0.88977,             0.79857,             0.78933,             0.57524,            0.033618,            0.012998,           0.0045097,             0.00736,             0.00736,             0.00736
                  42,            0.040203,            0.033199,           0.0045599,              0.8958,             0.80131,             0.80624,             0.61043,             0.03234,            0.012685,           0.0043646,            0.007294,            0.007294,            0.007294
                  43,            0.040859,            0.031451,           0.0046143,             0.89342,             0.79723,              0.7847,             0.59968,            0.032351,            0.012323,           0.0043662,            0.007228,            0.007228,            0.007228
                  44,            0.042209,            0.036124,           0.0044758,             0.89937,             0.80698,             0.78873,             0.56993,            0.034705,            0.013426,           0.0042597,            0.007162,            0.007162,            0.007162
                  45,            0.041269,            0.037655,           0.0047531,             0.90551,             0.80743,             0.79761,             0.57351,            0.032626,            0.013299,           0.0046036,            0.007096,            0.007096,            0.007096
                  46,             0.03936,            0.035228,           0.0040755,             0.86851,             0.79747,             0.78774,             0.59707,            0.034825,            0.013297,           0.0042728,             0.00703,             0.00703,             0.00703
                  47,            0.041666,            0.035893,           0.0038982,             0.89229,             0.80233,             0.79836,             0.61529,            0.030799,            0.012941,           0.0045544,            0.006964,            0.006964,            0.006964
                  48,            0.038725,            0.034779,           0.0044181,             0.89068,             0.80269,              0.7888,             0.56664,            0.032446,            0.012965,           0.0044511,            0.006898,            0.006898,            0.006898
                  49,             0.03953,            0.033311,           0.0038502,             0.89692,             0.80233,             0.79139,             0.61367,            0.031719,            0.012244,           0.0042511,            0.006832,            0.006832,            0.006832
                  50,            0.036548,            0.030835,           0.0039822,              0.8999,             0.80233,             0.79598,             0.57484,            0.033102,            0.011847,           0.0041825,            0.006766,            0.006766,            0.006766
                  51,            0.038885,            0.031096,           0.0039779,             0.88724,             0.79659,             0.79713,             0.59718,            0.033509,             0.01228,           0.0040902,              0.0067,              0.0067,              0.0067
                  52,            0.037196,            0.030808,            0.005817,             0.89351,             0.79907,             0.79685,             0.60937,            0.030421,            0.011943,           0.0041703,            0.006634,            0.006634,            0.006634
                  53,            0.039149,            0.034845,           0.0047772,             0.89527,             0.80016,             0.80395,             0.62673,            0.029293,             0.01223,           0.0040253,            0.006568,            0.006568,            0.006568
                  54,             0.03766,             0.03091,            0.003867,             0.89818,             0.80284,             0.79875,             0.61209,            0.032122,            0.011902,            0.004034,            0.006502,            0.006502,            0.006502
                  55,            0.038438,            0.031643,           0.0052903,             0.89118,             0.79835,              0.7918,             0.60842,            0.030107,            0.011497,           0.0041227,            0.006436,            0.006436,            0.006436
                  56,            0.037727,            0.037472,           0.0042669,             0.89441,             0.80565,             0.80165,             0.60228,            0.030529,            0.012683,           0.0041398,             0.00637,             0.00637,             0.00637
                  57,             0.03842,            0.031674,           0.0041088,             0.81789,             0.80288,             0.80038,             0.58212,            0.035664,            0.012173,           0.0041039,            0.006304,            0.006304,            0.006304
